,carno,startlap,startrank,endrank,diff,sign,pred_endrank,pred_diff,pred_sign
3628,4,130,20.0,19.0,-1.0,-1,19.0,-1.0,-1
3629,6,130,3.0,2.0,-1.0,-1,2.0,-1.0,-1
3630,7,130,27.0,27.0,0.0,0,27.0,0.0,0
3631,9,130,19.0,17.0,-2.0,-1,17.0,-2.0,-1
3632,12,130,6.0,5.0,-1.0,-1,4.0,-2.0,-1
3633,14,130,24.0,24.0,0.0,0,24.0,0.0,0
3634,15,130,2.0,1.0,-1.0,-1,1.0,-1.0,-1
3635,17,130,22.0,20.0,-2.0,-1,20.0,-2.0,-1
3636,18,130,0.0,4.0,4.0,1,6.0,6.0,1
3637,19,130,7.0,7.0,0.0,0,7.0,0.0,0
3638,20,130,9.0,9.0,0.0,0,10.0,1.0,1
3639,21,130,26.0,26.0,0.0,0,26.0,0.0,0
3640,22,130,10.0,10.0,0.0,0,9.0,-1.0,-1
3641,23,130,17.0,15.0,-2.0,-1,15.0,-2.0,-1
3642,24,130,18.0,16.0,-2.0,-1,16.0,-2.0,-1
3643,25,130,8.0,8.0,0.0,0,8.0,0.0,0
3644,26,130,14.0,14.0,0.0,0,14.0,0.0,0
3645,27,130,21.0,18.0,-3.0,-1,18.0,-3.0,-1
3646,28,130,11.0,11.0,0.0,0,12.0,1.0,1
3647,29,130,4.0,3.0,-1.0,-1,3.0,-1.0,-1
3648,59,130,25.0,25.0,0.0,0,25.0,0.0,0
3649,60,130,16.0,22.0,6.0,1,22.0,6.0,1
3650,64,130,15.0,21.0,6.0,1,21.0,6.0,1
3651,66,130,5.0,6.0,1.0,1,5.0,0.0,0
3652,88,130,23.0,23.0,0.0,0,23.0,0.0,0
3653,98,130,13.0,13.0,0.0,0,13.0,0.0,0
3654,1,131,1.0,0.0,-1.0,-1,0.0,-1.0,-1
3655,3,131,12.0,11.0,-1.0,-1,11.0,-1.0,-1
3656,4,131,18.0,18.0,0.0,0,18.0,0.0,0
3657,6,131,3.0,2.0,-1.0,-1,2.0,-1.0,-1
3658,7,131,27.0,27.0,0.0,0,27.0,0.0,0
3659,9,131,17.0,15.0,-2.0,-1,16.0,-1.0,-1
3660,12,131,5.0,4.0,-1.0,-1,4.0,-1.0,-1
3661,14,131,24.0,23.0,-1.0,-1,23.0,-1.0,-1
3662,15,131,2.0,1.0,-1.0,-1,1.0,-1.0,-1
3663,17,131,20.0,20.0,0.0,0,19.0,-1.0,-1
3664,18,131,0.0,17.0,17.0,1,13.0,13.0,1
3665,19,131,7.0,6.0,-1.0,-1,6.0,-1.0,-1
3666,20,131,9.0,8.0,-1.0,-1,9.0,0.0,0
3667,21,131,26.0,26.0,0.0,0,26.0,0.0,0
3668,22,131,10.0,9.0,-1.0,-1,8.0,-2.0,-1
3669,23,131,15.0,13.0,-2.0,-1,14.0,-1.0,-1
3670,24,131,16.0,14.0,-2.0,-1,15.0,-1.0,-1
3671,25,131,8.0,7.0,-1.0,-1,7.0,-1.0,-1
3672,26,131,14.0,25.0,11.0,1,24.0,10.0,1
3673,27,131,19.0,16.0,-3.0,-1,17.0,-2.0,-1
