MyIdx,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
17091,27,184,7,9857.8191,0.0,41.09600000000137
17178,27,185,7,9899.1142,0.0,41.295099999999366
17260,27,186,7,9940.339,0.0,41.22479999999996
17341,27,187,7,9981.6412,0.0,41.302200000000084
17419,27,188,7,10024.8015,0.0,43.16029999999955
17516,27,189,7,10100.1213,0.0,75.31980000000112
17617,27,190,7,10181.4005,0.0,81.27919999999904
17708,27,191,7,10298.6757,0.0,117.27520000000004
17804,27,192,7,10414.8656,0.0,116.1898999999994
17883,27,193,7,10495.3337,0.0,80.46810000000005
17954,27,194,7,10538.9615,0.0,43.62780000000021
18024,27,195,7,10580.468,0.0,41.506500000001324
18106,27,196,5,10622.0589,-2.0,41.59089999999924
18201,27,197,4,10663.777,-1.0,41.71810000000005
18292,27,198,4,10704.9527,0.0,41.17569999999978
18377,27,199,4,10746.3165,0.0,41.36380000000099
18457,27,200,4,10787.8602,0.0,41.54369999999835
14,28,0,14,1.9621,0.0,0.0
78,28,1,11,45.6826,-3.0,43.7205
161,28,2,11,86.8785,0.0,41.1959
243,28,3,11,128.4584,0.0,41.57990000000001
323,28,4,11,169.657,0.0,41.1986
406,28,5,11,211.1834,0.0,41.526399999999995
488,28,6,11,252.93900000000002,0.0,41.755600000000015
572,28,7,11,294.5468,0.0,41.6078
658,28,8,11,336.2987,0.0,41.75189999999998
744,28,9,11,378.0011,0.0,41.70240000000001
829,28,10,11,419.5046,0.0,41.503499999999974
918,28,11,11,461.0237,0.0,41.51910000000004
1004,28,12,11,502.6181,0.0,41.59440000000001
1092,28,13,11,544.1649,0.0,41.54679999999996
1180,28,14,11,585.8485,0.0,41.683599999999956
1270,28,15,11,627.4833,0.0,41.63480000000004
1360,28,16,11,668.9821,0.0,41.49879999999996
1450,28,17,11,710.5773,0.0,41.59520000000009
1539,28,18,11,752.1856,0.0,41.608299999999986
1628,28,19,11,793.666,0.0,41.48040000000003
1718,28,20,11,835.2989,0.0,41.63289999999995
1808,28,21,11,877.2268,0.0,41.92790000000002
1897,28,22,11,919.0315,0.0,41.804700000000025
1988,28,23,11,960.6607,0.0,41.62919999999997
2079,28,24,11,1002.4052,0.0,41.744500000000016
2169,28,25,11,1044.1843,0.0,41.77909999999986
2258,28,26,11,1085.8216,0.0,41.637300000000096
2347,28,27,11,1127.4553,0.0,41.63370000000009
2440,28,28,11,1169.0672,0.0,41.61189999999988
2530,28,29,11,1210.8942,0.0,41.827
2626,28,30,10,1252.7881,-1.0,41.89390000000003
2725,28,31,7,1294.3617,-3.0,41.57359999999994
2887,28,32,16,1360.6738,9.0,66.3121000000001
3116,28,33,24,1416.7957,8.0,56.12189999999987
3246,28,34,14,1458.5145,-10.0,41.7188000000001
3396,28,35,12,1500.7853,-2.0,42.27080000000001
3508,28,36,11,1542.2781,-1.0,41.49279999999999
3611,28,37,11,1584.9384,0.0,42.66030000000001
3705,28,38,11,1627.4217,0.0,42.4833000000001
3795,28,39,11,1669.9685,0.0,42.54679999999985
3886,28,40,11,1712.0401,0.0,42.07159999999999
3977,28,41,11,1753.8472,0.0,41.80709999999999
4070,28,42,11,1795.9469,0.0,42.099699999999984
4162,28,43,11,1838.0469,0.0,42.100000000000136
4254,28,44,11,1880.3182,0.0,42.27129999999988
4346,28,45,11,1922.5364,0.0,42.218200000000024
4434,28,46,11,1965.7404,0.0,43.20399999999995
4527,28,47,11,2010.0488,0.0,44.30840000000012
4635,28,48,11,2073.8577,0.0,63.808899999999994
